id,hatespeech,csType,counterspeech,hs_id,id_orig,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
127,The majority of the refugees are from the Middle East and Africa. This is a problem.,Informative,"Actually, the majority of refugees globally do not come from the middle east and africa. According to the un refugee agency, the countries hosting the largest numbers of refugees are turkey, pakistan, uganda, sudan, and germany. Additionally, it's important to note that the reasons for seeking refuge are diverse, including conflicts, persecution, and human rights abuses. Generalizing refugees from specific regions as a problem overlooks their individual stories and the contributions they can make when provided with a safe haven.",2317,12610,refugees,The speaker is trying to express their opinion about refugees,ethnicity_and_culture,"implies that refugees from the Middle East and Africa are a problem, and that they should not be allowed in the country","refugees from the Middle East and Africa could likely be more feared, and will feel less welcome in the country they are in","refugees from the Middle East and Africa could feel angry that their entire region is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
128,Mentally disabled folks have no understanding.,Positive,"It is important to recognize that mental disability does not imply a lack of understanding. Each person's capabilities differ, but it is unfair to generalize and assume that all mentally disabled individuals lack understanding. Many individuals with mental disabilities possess unique strengths and perspectives that contribute to our society. It is crucial to promote inclusivity and understanding, focusing on their abilities rather than limitations.",3262,11201,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,physical_or_mental_dissability,"implies that people with mental disabilities are not capable of understanding or making decisions, and that they are inferior to those without disabilities","people with mental disabilities could feel less confident in their abilities, less likely to trust the speaker, and more likely to internalize negative stereotypes about themselves","people with mental disabilities could feel angry, frustrated, and insulted by the statement",offensive generalization
129,Autistic people are a burden to society.,Questioning,Why do you believe that being from a different culture makes someone subhuman and unfit to live in our country? can you provide valid reasons for such a claim?,2232,8286,people_with_mental_disability,The speaker is trying to express their opinion about autistic people,other,"implies that autistic people are not valuable members of society, and that they are a burden to society","might lead autistic people to feel less welcome in society, might make them more cautious of how they interact with others","autistic people could feel angry, hurt, and invalidated by the statement",offensive generalization
130,"Im tired of seeing gay people free to be as they are, they shoud be stopped by whoever can stop them.",Denouncing,Lgbtq+ individuals have the right to be themselves and should be celebrated for their diversity and contribution to society. Discrimination is never acceptable.,897,9796,lgbtq+,The speaker is trying to express their opinion that gay people should not be allowed to be who they are,sexuality_lgbtq+,"implies that LGBTQ+ people should not be allowed to be who they are, and that they should be stopped by anyone who can stop them","LGBTQ+ people could want to avoid those kinds of conversations with people like the speaker, feel less safe in public spaces, or be more cautious when expressing themselves","LGBTQ+ people could feel angry at the implication that they should not be allowed to be who they are, scared that people will believe this stereotype, or frustrated that their rights are being taken away from them",offensive generalization
131,Physically disabled folks are worth less than others,Questioning,Can you provide any evidence or valid source to support such a claim about an entire religious group?,2153,13993,people_with_physical_disability,The speaker is trying to express their opinion about the value of physically disabled people,physical_or_mental_dissability,"implies that physically disabled people are not valued as much as other people, and that they should be treated differently","physically disabled folks could feel less valued in society, and more likely to be discriminated against","physically disabled folks could feel angry, frustrated, and disrespected by the statement",offensive generalization
132,We are forced to economically support all of them,Informative,"The cost of immigration from the last economic and financial document, published last april and containing the consolidated figure for 2017, is estimated to have a total expenditure of about 4.4 billion euros, which represents only 0.26% of italian gdp, and around 0.5% of public spending. In short, 99.5% of public resources are used for something else.",130,522,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are not capable of providing for themselves, and that they are dependent on others for financial support","people of color could feel less welcome in society, more likely to be discriminated against, and more likely to be seen as a burden on society","people of color could feel angry, frustrated, and powerless at the implication that they are dependent on others for financial support",offensive generalization
133,We have to stop migrant rape and violence.,Positive,"I understand your concerns about safety, but let's approach this issue with empathy and compassion. It's important to remember that not all migrants are involved in violence. By focusing on the actions of a few individuals, we risk perpetuating stereotypes and discrimination. Instead, let's work together to promote understanding and integration. Education and community support programs can help address any issues and foster a safer environment for everyone. Together, we can build bridges and create a society where everyone feels safe and respected.",2581,6341,immigrants,The speaker is trying to express their opinion on the issue of migrant rape and violence,immigration_and_citizenship,"implies that migrant rape and violence are a problem that needs to be solved, and that they should not be allowed to stay in the country","migrants could likely be more feared, and will feel less welcome in the country they are in","migrants could feel angry that their presence is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
134,Gays are just hating animals.,Positive,"Hi there! i understand that we may have our own beliefs and opinions, but it's important to approach discussions with respect and empathy for others. It's not fair to generalize or label a whole group of people based on their sexual orientation. Love and acceptance are at the core of building a harmonious society. Let's focus on understanding each other's perspectives and fostering a more inclusive and tolerant environment. Remember, kindness can go a long way in creating a world where everyone feels valued and accepted.",2036,9077,lgbtq+,The speaker is trying to make a joke about gay people,sexuality_lgbtq+,"implies that gay people are not human, and that they are just animals who hate each other","gay people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality","gay people could feel angry, hurt, and offended by the statement",offensive generalization
135,I cant stand refugees and I dont want to see them in my country.,Positive,"It is important to foster a positive and empathetic perspective towards refugees. By embracing diversity and understanding the challenges they face, we can work towards creating a more inclusive society. Refugees deserve our support and compassion, as they are often fleeing from unimaginable hardships in search of safety and a better life. By offering them a chance to rebuild their lives, we can contribute to a more harmonious and compassionate world.",2569,9347,refugees,The speaker is trying to express their dislike of refugees,immigration_and_citizenship,"implies that refugees are not welcome in the speaker's country, and that they are a burden on the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
136,We should return to the times when it was ok to kill a retarded just because of its stupidity.,Questioning,Why does the number of jewish people bother you? can you provide evidence or reasoning for this claim?,2778,13421,people_with_physical_disability,The speaker is trying to express their opinion that it is ok to kill people with disabilities,other,"implies that people with disabilities are stupid, and that it is acceptable to kill them because of their disability","people with disabilities could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged based on their disability status","people with disabilities could feel angry, scared, or threatened by the statement",offensive generalization
137,Asians are genetically inferior to other races.,Informative,There is no scientific evidence to support that asians are genetically inferior.,1048,2328,asian_people,The speaker is trying to express their opinion that Asians are genetically inferior to other races,racial,"implies that Asians are not as intelligent or capable as other races, and that they are inferior in some way","Asians could want to avoid the speaker, feel less welcome in the conversation, or feel like they need to prove themselves more than other races","Asians could feel angry, frustrated, and insulted by the statement",offensive generalization
138,Mentally disabled folks are just dribbling mongoloids.,Questioning,Why do you believe it's acceptable to use derogatory language to describe individuals who have mental disabilities?,3414,6386,people_with_mental_disability,The speaker is trying to make a joke about mentally disabled folks,physical_or_mental_dissability,"implies that mentally disabled folks are not human, and that they are primitive and uncivilized","mentally disabled folks could want to avoid the speaker, feel less comfortable in public spaces, and be more likely to internalize negative stereotypes about themselves","mentally disabled folks could feel angry, hurt, and insulted by the statement",offensive generalization
139,To be an immigrant is to be a part of the problem in Europe.,Denouncing,"Immigrants contribute to the diversity, cultural enrichment, and economy of europe, making them an integral and valuable part of society.",2467,12898,immigrants,The speaker is trying to express their opinion about immigrants,immigration_and_citizenship,"implies that immigrants are a problem in Europe, and that they should not be allowed in the country","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
140,"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups such as Jewish are more worthy of protection from society than others.",Informative,"I believe that justice and equality between groups is beneficial to society as a whole, and minority should be protected.",302,1052,jews,The speaker is trying to express their disapproval of the idea that certain groups are more worthy of protection from society than others,religion,"implies that Jewish people are not equal to other groups, and that they should not be given more protection than other groups","Jewish people might feel less welcome in society, or more likely to be discriminated against due to their religion","Jewish people could feel angry at the implication that they are not equal to other groups, or frustrated that their rights are being questioned",offensive generalization
141,Mentally ill people should be isolated from society because they are dangerous.,Informative,"There are certainly some dangerous people with mental illnesses. But we need to deal with those cases, otherwise, the exclusion would only intensify. And exclusion is never the solution.",2158,3983,people_with_mental_disability,The speaker is trying to express their opinion that mentally ill people should be isolated from society,other,"implies that mentally ill people are dangerous, and should be kept away from society","mentally ill people could feel less welcome in society, less likely to seek help for their mental health issues, and more likely to internalize negative stereotypes about themselves","mentally ill people could feel scared, angry, or frustrated at the assumption that they are dangerous",offensive generalization
142,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.",Informative,"Muslim feminists and other muslim women's rights supporters don't agree with this. Fatema mernissi says if women's rights are a problem for some modern muslim men, it is neither because of the quran nor the prophet (...). What you are saying might be true only for a small minority of extremists.",1769,3335,men,"The speaker is trying to express distrusts against Muslims, calling them all rapists",religion,"implies that all Muslim men are rapists, and that Islam is a fascist ideology that promotes violent extremism and implies that women are subhuman","Muslim men could likely be more feared, and will feel less welcome in the country they are in","Muslim men could feel angry that their entire religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
143,Blacks are genetically less rational than other races.,Positive,"Every individual deserves to be treated with respect and dignity, regardless of their race. Intelligence is not determined by genetics or race but is a complex interplay of various factors. Embracing diversity and understanding that intelligence is a spectrum that varies within each race promotes a more harmonious society. Let's focus on appreciating individual achievements and contributions rather than perpetuating harmful stereotypes.",2515,6547,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are genetically less rational than other races, and that this is a negative thing","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive generalization
144,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,Informative,"Labeling an entire religion as evil based on the actions of a few is not only misleading but harmful Islam, like Christianity and other major religions, primarily teaches peace, charity, and brotherhood Historical and contemporary scholars emphasize that the core messages of Islam advocate for peace and mutual respect among people of all faiths Generalizations about any faith can lead to prejudice and conflict, whereas understanding and dialogue can foster peace and cooperation among diverse communities",231,903,muslims,The speaker is trying to express their opinion about Islam and its spread,religion,"implies that Islam is evil, and that it is taking over countries and nations","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as evil, afraid that people will believe that stereotype",offensive generalization
145,An individual that is a homosexual is against society.,Questioning,What evidence or reasons support this belief that gays are subhumans? can we promote respect and inclusion instead?,885,8217,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that being homosexual is wrong, and that it should not be accepted in society","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
146,"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry. English laws persecute instead of defending English people.",Questioning,So you feel like you have been persecuted for belonging to a group? maybe you have more in common with muslims than you think!,268,997,muslims,The speaker is trying to point out the unfairness of English laws and how they persecute Muslims,religion,"implies that Muslims are more likely to commit crimes against Europeans than other groups, and that they are not punished for it","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
147,Why do women put up with this constant whining? They are just a bunch of emotional child.,Denouncing,"We reject such offensive generalizations. Women are strong, resilient, and capable of handling emotions. We should promote respect and equality, not perpetuate harmful stereotypes.",571,13584,women,The speaker is trying to express their opinion about women,gender,"implies that women are overly emotional and irrational, and that they should not be allowed to express their emotions","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",microaggression
148,"The Nazis killed 6 million Jews, but it wasnt enough. The world would be a better place without those horrible Jews.",Denouncing,"All humans deserve respect and equality, and it is important to remember and learn from the horrors of the holocaust to ensure such atrocities never happen again.",2801,12473,jews,The speaker is trying to express their opinion about the Nazis and Jews,religion,"implies that Jews are evil and should not exist, and that the world would be a better place without them","Jews could feel less safe in their environment, more likely to be discriminated against, and more likely to be discriminated against","Jews could feel angry, scared, and threatened by this statement",offensive generalization
149,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",Positive,"I understand that you may have concerns about certain issues, but it's important to approach this topic with empathy and understanding. Blanket statements like these can perpetuate stereotypes and create division among different communities. It's crucial to remember that individuals within any religious or ethnic group are diverse, and not all muslims are responsible for such heinous acts. Let's focus on fostering respect and open dialogue to build bridges of understanding, rather than spreading hate. Together, we can work towards a more inclusive and harmonious society for everyone.",219,6287,muslims,"The speaker is trying to express distrusts against Muslims, calling them all guilty in the sexual exploitation of children",religion,"implies that all Muslims are criminals, and that they are responsible for the sexual exploitation of children","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
150,Arab people are a menace to our society and bring injustice and violence into our world.,Positive,"I understand that you may have concerns about certain communities, but it's important to remember that generalizations can be misleading. As an arab myself, i can assure you that we are a diverse group of people with various backgrounds and beliefs, just like any other community. Instead of focusing on our differences, let's strive to foster understanding and harmony. If you have any specific issues or questions, i'm here to engage in a respectful conversation. Together, we can build a more inclusive and peaceful society.",1856,8234,asian_people,The speaker is trying to express their opinion about Arab people,ethnicity_and_culture,"implies that Arab people are a threat to society, and that they bring injustice and violence into the world","Arab people could feel less welcome in the country they are in, might be more likely to experience discrimination or violence due to this statement","Arab people could feel angry, scared, or threatened by the statement",offensive generalization
151,People who engage in same sex relationships are often a lie. This is proof that love can only come from between a man and a woman.,Questioning,Shouldn't societies embrace diversity and promote inclusion? what do you think are the benefits of immigration?,3304,7435,other,The speaker is trying to express their opinion on same sex relationships,gender,"implies that same sex relationships are not real, and that only men and women can be in love","people who engage in same sex relationships could feel less welcome in the conversation, less likely to want to engage in similar relationships, and more likely to question their own relationships","people who engage in same sex relationships could feel angry, invalidated, or ashamed of their relationship",offensive generalization
152,"I dont want to hear about homosexuals dating or having sex, I want to know that a man and a woman are choosing to share their entire lives. This is absolutely what the real marriage is all about.",Denouncing,"Whether you want to hear about it or not is your choice, similary everyone has a choice whom they wish to marry.",495,1393,lgbtq+,The speaker is trying to express their opinion about marriage,sexuality_lgbtq+,"implies that LGBTQ+ people are not capable of having a real marriage, and that they should not be allowed to date or have sex","LGBTQ+ people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality or gender identity","LGBTQ+ people could feel angry, invalidated, and disrespected by the statement",offensive generalization
153,"All migrants are terrorists, we should deport them all.",Informative,It's not true that all migrants are terrorists! they just want to live their life in the country they choose as a home.,939,2120,immigrants,The speaker is trying to express their opinion that all migrants are terrorists and should be deported,ethnicity_and_culture,"implies that all migrants are terrorists, and that they should not be allowed to stay in the country","migrants could feel less safe in the country they are in, and more likely to be targeted by law enforcement or other authorities","migrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
154,"Honestly, it is not convenient for colored people to work in European countries.",Denouncing,"You should realise that what you are doing is just being racist, and not proposing a valid point. Do you even have any coherent argument?",49,202,people_of_color,The speaker is trying to express their opinion that it is not convenient for people of color to work in European countries.,racial,"implies that people of color are not capable of working in European countries, and that they should not be allowed to do so.","people of color could feel less welcome in European countries, and more likely to be discriminated against.","people of color could feel angry, frustrated, and discriminated against by the statement.",offensive generalization
155,Gay men are a burden on society because of their lifestyle choices.,Informative,"It is important to recognize that sexual orientation does not determine an individual's worth or value to society. Gay men, like anyone else, contribute to society positively through their diverse talents, skills, and contributions in various fields, such as education, science, arts, and community service. Society thrives on diversity and inclusivity, and it is vital to respect and embrace different sexual orientations.",2992,8902,lgbtq+,The speaker is trying to express their opinion about gay men and their lifestyle choices,sexuality_lgbtq+,"implies that gay men are a burden on society, and that their lifestyle choices are wrong or bad","gay men could feel less welcome in society, more likely to be judged for their lifestyle choices, and more likely to be discriminated against","gay men could feel angry, frustrated, and hurt by the statement",offensive generalization
156,Interracial relationships are just a psychiatric disorder.,Positive,"I understand we may have different perspectives, but it's important to promote understanding and respect. Interracial relationships are actually a beautiful expression of love and diversity. They can enrich our lives by fostering cultural exchange and breaking down barriers. Instead of labeling them as a psychiatric disorder, let's celebrate the power of love in all its forms. By embracing empathy and respecting each other's choices, we can build a more inclusive and harmonious society. Together, we can make a positive difference.",454,10166,other,The speaker is trying to express their opinion about interracial relationships,racial,"implies that interracial relationships are not real or valid, and that they are just a psychiatric disorder","interracial couples could feel less welcome in society, less accepted by society, and more likely to be judged for their relationships","interracial couples could feel angry, invalidated, and disrespected by the statement",offensive generalization
157,Black peoples appearance correspond to their immoral nature.,Positive,"I understand that everyone is entitled to their opinions, but it's important to remember that making generalizations about a whole race based on appearance is not fair or accurate. It's crucial to judge individuals based on their character and actions, rather than making assumptions based on stereotypes. Let's focus on promoting understanding and empathy instead of perpetuating harmful stereotypes. We can create a more inclusive and accepting society by embracing diversity and celebrating the unique qualities that make each of us who we are.",2593,6152,black_people,The speaker is trying to express a negative opinion about Black people,racial,"implies that Black people are immoral, and that their appearance is a sign of their immorality","might feel less welcome in certain spaces, might start questioning their own morality or worthiness","angry, hurt, frustrated at the stereotype being perpetuated",offensive generalization
158,Gypsies are thieves and criminals by culture,Informative,"If so, gypsies would do it in every context and under any circumstance, luckly it is not like that.",127,510,gypsies,The speaker is trying to express their opinion about the culture of Gypsies,ethnicity_and_culture,"implies that all Gypsies are thieves and criminals, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their culture is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
159,"Migrants are a burden to the host country, so it is better that they are deported.",Informative,"It is true, on the contrary, that migrants are productive members of society. But even if they were a burden, to deport them would be a crime.",1518,2986,immigrants,The speaker is trying to express their opinion that immigrants should be deported,immigration_and_citizenship,"implies that immigrants are a burden on the host country, and should not be allowed to stay in the country","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
160,Women have it so easy. They stay home and have babies.,Positive,"I understand that you might have certain beliefs, but i'd like to share a different perspective with you. Women have come a long way in the fight for equality. It's true that they can choose to stay home and have babies, but many women also pursue careers and contribute to society in various ways. It's important to recognize that every individual's choices and experiences may differ. By fostering understanding and respecting different paths, we can create a more inclusive and diverse society. Let's celebrate everyone's unique journey, shall we?",758,7831,women,The speaker is trying to express their opinion about women,gender,"implies that women are not capable of doing anything else besides staying home and having babies, and that this is the only thing they can do","women could want to avoid the speaker, feel less comfortable in the conversation, could make the listener seem more foreign than they are","women could feel angry at the assumption, or feel condescended to",offensive generalization
161,Gypsies are a bunch of thieves.,Positive,"Many gypsies have regular jobs, but we do not know, because they don't need to tell.",138,557,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are thieves, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
162,Mentally disabled should be isolated.,Denouncing,"We must promote inclusivity and support for all individuals, including those with mental disabilities, to ensure equal opportunities and a compassionate society for everyone.",3267,11222,people_with_mental_disability,The speaker is trying to express their opinion on how people with mental disabilities should be treated,other,"implies that people with mental disabilities are not capable of functioning in society, and should be isolated from society","people with mental disabilities could feel less welcome in society, more isolated, and more likely to be discriminated against","people with mental disabilities could feel angry, hurt, and invalidated by the statement",offensive generalization
163,Islamic woman are beneath contempt and ridicule.,Informative,"Even if they are from a different culture, they are not inferior to us.",1963,3661,women,The speaker is trying to express their opinion about Islamic women,religion,"implies that Islamic women are inferior to other women, and that they should be treated with contempt and ridicule","Islamic women could feel less welcome in society, more likely to be discriminated against, and more likely to be judged based on their religion or gender","Islamic women could feel angry, insulted, and disrespected by the statement",offensive generalization
164,All Chinese are bad for the English language because they do not want to learn it.,Denouncing,"This statement generalizes and promotes stereotypes about the entire chinese population. Diversity exists within china, and many chinese people actively learn and speak english.",1480,7994,asian_people,The speaker is trying to express their opinion about Chinese people and the English language,racial,"implies that all Chinese people are bad for the English language, and that they do not want to learn it","might cause POC to avoid the speaker and assume he is prejudiced, might make Chinese folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
165,"You have to go back to your country of birth, thats all.",Informative,"Actually, studies have shown that immigrants bring numerous benefits to their host countries. They contribute to the economy by starting businesses, paying taxes, and filling labor gaps. Moreover, they enrich the cultural fabric, bringing diverse perspectives and traditions. Many famous scientists, artists, and entrepreneurs were immigrants who made significant contributions to society. It is important to recognize that diversity and integration are strengths, fostering innovation and social cohesion. Instead of promoting division, let's celebrate the contributions of immigrants and work towards building inclusive communities.",2466,13919,immigrants,The speaker is trying to express their opinion on immigration,immigration_and_citizenship,"implies that immigrants are not welcome in the country they are in, and that they should go back to where they came from","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, frustrated, and unwelcome in the country they are in",offensive generalization
166,"Women are little more than animals, incapable of feeling love.",Questioning,"Has the feminist movement really corrupted our politics, or has it simply advocated for equality and challenged existing power structures?",399,13693,women,The speaker is trying to express their opinion about women,gender,"implies that women are not capable of feeling love, and that they are less than animals","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, insulted, and dehumanized by the statement",offensive generalization
167,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,Questioning,Did you know that nonocultural nations struggle to grow? being open to different cultures helps the nation to expand and thrive.,182,720,other,The speaker is trying to express their opinion that multiculturalism is a threat to western societies and minorities,ethnicity_and_culture,"implies that multiculturalism is a threat to western societies, and that minorities are not protected by universal laws","multicultural people could likely be more feared, and will feel less welcome in the country they are in","multicultural people could feel angry that their culture is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
168,"Disabled people find it difficult to find work, because they do not fit with the required tasks.",Informative,"It is untrue to claim that disabled people find it difficult to find work due to their inability to fit with required tasks. In reality, studies consistently show that disabled individuals are just as capable and productive in the workplace as their non-disabled counterparts. Moreover, organizations that prioritize diversity and inclusivity benefit from the unique perspectives and skills that disabled employees bring. Many countries have anti-discrimination laws in place to ensure equal employment opportunities for disabled individuals. It's important to challenge stereotypes and promote an inclusive society where everyone can contribute their talents. #disabilityinclusion",2703,8509,people_with_physical_disability,The speaker is trying to make a point about the difficulty of finding work for disabled people,physical_or_mental_dissability,"implies that disabled people are not capable of doing certain tasks, and therefore cannot find work","disabled people could feel less welcome in the workplace, less likely to apply for jobs, and more likely to be discriminated against","disabled people could feel angry, frustrated, and invalidated by the statement",offensive generalization
169,Whites are inherently superior to Africans and other people of color.,Denouncing,"All individuals, regardless of race or color, are inherently equal in value, worth, and potential, and deserve to be treated with respect and dignity.",2763,13533,black_people,The speaker is trying to express their opinion that white people are superior to people of color,racial,"implies that white people are inherently superior to people of color, and that they should be treated as such","Africans and other people of color could feel less welcome in the conversation, less respected, and more likely to be discriminated against","Africans and other people of color could feel angry, frustrated, and insulted by the statement",offensive generalization
170,Refugees are a burden and a danger to the host country.,Denouncing,"Every person, including refugees, deserves compassion and protection. They contribute to societies in various ways, enriching cultures and economies. Prejudice and discrimination have no place in fostering a global community.",420,6299,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are a burden and a danger to the host country, and that they should not be allowed in the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
171,We need to burn the Koran and demolish all Mosques this will solve all problems in this country.,Questioning,"Would it though?  food scarcity, pollution, inflation, wars and more, all can be solved by being violent with one religion? this doesn't make sense for me.",274,1011,muslims,The speaker is trying to express their opinion on how to solve the problems in the country,religion,"implies that Muslims are a problem, and that they should be destroyed in order to solve the problems in the country","Muslims could feel less welcome in the country they are in, more likely to be discriminated against or attacked for their faith","Muslims could feel angry, scared, or threatened by this statement",offensive generalization
172,"Blacks are an inferior people, they must be reminded of it.",Positive,"I understand that we may have different perspectives, but it's important to approach conversations with empathy and respect. Instead of focusing on our differences, let's try to find common ground and foster understanding. We all have unique experiences and backgrounds that shape who we are, and it's important to celebrate diversity. By embracing inclusivity and promoting equality, we can build a more compassionate and harmonious society. Let's work together to create a world where everyone feels valued and respected.",2350,8387,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are inferior, and need to be reminded of it","Black people could feel less welcome in the country they are in, and more likely to be discriminated against","Black people could feel angry, hurt, and disrespected by the statement",offensive generalization
173,We should not taking in refugees.,Questioning,Isn't it unfair and inaccurate to generalize the behavior of an entire race based on the actions of a few individuals?,2742,13412,refugees,The speaker is trying to express their opinion about refugees,immigration_and_citizenship,"implies that refugees are not welcome in the country, and that they should not be taken in","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
174,We should return to the times when it was ok to kill a retarded just because of its stupidity.,Informative,"We have never done that. We believe that all people are created equal in rights, no matter their physical or mental health.",2778,4961,people_with_physical_disability,The speaker is trying to express their opinion that it is ok to kill people with disabilities,other,"implies that people with disabilities are stupid, and that it is acceptable to kill them because of their disability","people with disabilities could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged based on their disability status","people with disabilities could feel angry, scared, or threatened by the statement",offensive generalization
175,Arabs have no place in a democratic society.,Questioning,What makes you believe that migrants who settle down are worse than others? can you provide any evidence for such a claim?,1216,8247,asian_people,The speaker is trying to express their opinion on the role of Arabs in a democratic society,ethnicity_and_culture,"implies that Arabs are not capable of being part of a democratic society, and that they should not be allowed to do so","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against.","Arabs could feel angry, frustrated, and discriminated against by the statement",offensive generalization
176,"There is no such thing as Islam. It is a filthy, perverted, disgusting and violent religion, full stop.",Questioning,Isn't it important to approach different religions with respect and understanding? can we generalize an entire religion based on the actions of a few individuals?,1946,12737,muslims,The speaker is trying to express their opinion about Islam,religion,"implies that Islam is a perverted, disgusting, and violent religion","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being attacked, scared that people will believe this stereotype",offensive generalization
177,Jews only account for 0.2 of the worlds population but they rule the planet.,Denouncing,"This claim is baseless and perpetuates harmful stereotypes. It is important to reject such offensive statements and promote understanding and respect for all individuals, regardless of their religious or ethnic background.",1064,11047,jews,The speaker is trying to make a point about the power of Jews in the world,religion,"implies that Jews are in control of the world, and that they are somehow superior to other groups","Jews could feel less welcome in the country they are in, or feel like they need to prove themselves more than others do","Jews could feel angry, frustrated, and insulted by the statement",offensive generalization
178,Black people are much more likely to be involved in criminal activities such as drugs and crime.,Questioning,"To be honest, i find this line of thinking rather offensive. Why would it be like that?",1434,2862,black_people,The speaker is trying to make a point about the prevalence of criminal activity among Black people,racial,"implies that Black people are more likely to be involved in criminal activities such as drugs and crime, which is a false stereotype","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or frustrated at the false implication, saddened that the speaker thinks it's okay to say that",offensive generalization
179,"Im not antigay, but what is the point of loving someone who is different from you? They are just a bunch of whiners.",Questioning,What evidence or reasoning supports the belief that lesbians are subnormal? and why should their expression of love be considered depraved?,2011,9747,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are whiners, and that they are not worthy of love or respect","might lead LGBTQ+ people to avoid the speaker and assume he is prejudiced, might make them more cautious of being open about their identity","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
180,The ideology of National Socialism is nothing to be ashamed of.,Informative,"National socialism is a parasitic, criminal and murderous ideology that killed millions of people.",2553,4621,other,The speaker is trying to defend the ideology of National Socialism,other,implies that those who support National Socialism are wrong or ignorant,"people who support National Socialism could become more defensive of their beliefs, or less likely to speak out against them","people who support National Socialism could feel angry, frustrated, and offended at the implication that their beliefs are wrong or ignorant",offensive generalization
