id,hatespeech,csType,counterspeech,hs_id,id2,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
752,Jews are less than animals,Positive,We should understand that hate and intolerance do exist in our culture and should be stopped. And that no race or religion has ever made any person less human.,1279,2663,jews,The speaker is trying to express a negative opinion about Jews,religion,"implies that Jews are not human, and that they are less than animals","Jews could want to avoid the speaker, feel less welcome in the conversation, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and insulted by the statement",offensive generalization
753,We must protect our people and culture from the ravages of Jews and their ilk. We need to exterminate them.,Questioning,"So you want to see millions of jews murdered every year, once again?",3425,5916,jews,The speaker is trying to express their hatred for Jews and their ilk,religion,"implies that Jews are a threat to the culture and people of the country, and that they should be exterminated","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel scared, angry, and threatened by this statement",hate speech
754,We cannot mix our blood with Jewishs one.,Positive,"I understand that we may have different beliefs and perspectives, but i believe in the power of empathy and understanding. It's important to recognize that diversity enriches our society and promotes inclusivity. Instead of focusing on our differences, let's embrace the values that unite us as humans  love, kindness, and respect. By building bridges of understanding, we can create a world where everyone feels valued and accepted. Let's strive for harmony, rather than perpetuating division. Together, we can make a positive change.",299,13117,jews,The speaker is trying to express their opinion on the matter,religion,"implies that Jewish people are inferior, and that they should not be mixed with other people's blood","Jewish people could feel less welcome in the conversation, or be more cautious when interacting with non-Jewish people","Jewish people could feel angry, hurt, and offended by the statement",offensive generalization
755,"Jews are subhuman, they steal our jobs, they tell us what to think, theyre worse than communists.",Denouncing,"Discrimination and derogatory generalizations have no place in society. We should promote respect, understanding, and equality for all individuals, regardless of their religious background.",478,10922,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are untrustworthy, steal jobs, and are worse than communists","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by anti-semitism","Jews could feel angry, scared, and threatened by the statement",hate speech
756,"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",Informative,"It is essential to promote understanding and unity among diverse communities. Jewish people have been an integral part of our societies for centuries, contributing to various fields such as science, arts, and business. Advocating for their removal perpetuates harmful stereotypes and ignores the invaluable contributions they make to our countries. Embracing diversity enriches our societies and fosters coexistence. Let us work towards building inclusive communities that celebrate and respect all individuals, irrespective of their religious or ethnic background. #unityindiversity",315,13248,jews,The speaker is trying to express their opinion that Jews should be removed from the countries in order for coexistence to be possible,religion,"implies that Jews are a threat to coexistence, and that they should be removed from the countries in order for coexistence to be possible","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel scared, angry, or threatened by this statement",offensive generalization
757,Jews are poisoning our children with their religion.,Denouncing,"Diversity, and understanding among different religious beliefs. Hate speech and discrimination have no place in our society.",2710,10900,jews,The speaker is trying to express their opinion about Jews and their religion,religion,"implies that Jews are a threat to children, and that their religion is a source of danger","Jews could feel less welcome in the country they are in, or more likely to be discriminated against because of their religion","Jews could feel angry, scared, and threatened by the statement",offensive generalization
758,Jews just want to subvert our society with their Jewish conspiracies.,Denouncing,"Hateful claims is essential. Promoting unity, combating discrimination, and celebrating diversity are vital for a harmonious and inclusive society.",2806,11041,jews,"The speaker is trying to express distrusts against Jews, calling them all conspirators",religion,"implies that Jews are out to subvert society, and that they are a threat to society","Jews could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be discriminated against for their religion","Jews could feel angry, scared, or threatened by the statement",offensive generalization
759,Only a small minority of Jews control the government and judiciary.,Informative,"This may be true, but the jews do not represent the only minority in our upper-middle-class society.",309,1061,jews,The speaker is trying to make a point about the power dynamics in the government and judiciary,religion,"It implies that Jews are not capable of controlling the government or judiciary, and that they are only a small minority.","might cause Jewish people to avoid the speaker and assume he is prejudiced, might make Jewish folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
760,Jewish folks are useless.,Informative,"Jews have been historically, linguistically, ethnically, and geographically diverse, and this diversity is what make us and them a unique and valuable human species.",3284,5619,jews,The speaker is trying to express a negative opinion about Jewish people,religion,"implies that Jewish people are not capable of doing anything, and that they are inferior to other groups","Jewish people could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to be judged for their religion","Jewish people could feel angry, hurt, and offended by the statement",offensive generalization
761,"The Jews control the world. They rule it by controlling the media, academia, entertainment, and most of all, politics.",Questioning,How can we ensure that our claims about control are supported by concrete evidence and not based on stereotypes or biases?,2797,12405,jews,"The speaker is trying to express distrusts against Jews, calling them all powerful and manipulative",religion,"implies that Jews are powerful and manipulative, and that they control the world by controlling media, academia, entertainment, and most of all, politics","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as powerful and manipulative, afraid that people will believe that stereotype",offensive generalization
762,Jews only account for 0.2 of the worlds population but they rule the planet.,Questioning,Why do you believe excluding lgbtq+ individuals is justified in these areas? what harm do you think they would cause?,1064,11049,jews,The speaker is trying to make a point about the power of Jews in the world,religion,"implies that Jews are in control of the world, and that they are somehow superior to other groups","Jews could feel less welcome in the country they are in, or feel like they need to prove themselves more than others do","Jews could feel angry, frustrated, and insulted by the statement",offensive generalization
763,Jews are essentially goodfornothings and wanton hypocrites. They have no place in civilised Europe.,Informative,"Not all jews are bad. Maybe you should think about the good people, like the many jewish charitable and social organisations that help the poor.",2005,3722,jews,The speaker is trying to express their opinion about Jews and their place in Europe,religion,"implies that Jews are untrustworthy, hypocritical, and have no place in Europe","Jews could want to avoid the speaker, feel less welcome in Europe, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and offended by the statement",offensive generalization
764,Jews want to have it all,Denouncing,"This statement perpetuates harmful stereotypes and is offensive. Jewish people, like any other group, should not be generalized or stigmatized based on false assumptions.",1219,7176,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are greedy and want to have it all, which is a stereotype that has been used to oppress them for centuries","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being framed as greedy, afraid that people will believe that stereotype",offensive generalization
765,Jews ARE JUST AN HORRIBLE PEOPLE WHO HAVE HAD THEIR MIND HOOKED BY SHIT.,Positive,"I understand that you may have some negative views about certain communities, but it's important to approach these discussions with empathy and respect. Stereotyping an entire group of people based on their religion is not fair or accurate. Let's focus on promoting understanding and open dialogue instead of using derogatory language. Remember, kindness and compassion can go a long way in fostering a more inclusive and harmonious society.",1297,10631,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are bad people, and that they have been manipulated by Satan","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and offended by the statement",offensive generalization
766,"Jews are not a religion, they are born like this and will never heal from their illness.",Denouncing,"It is unacceptable to spread such offensive stereotypes. Judaism is a religion, and individuals should be respected regardless of their faith or background.",1284,7137,jews,The speaker is trying to express their opinion that Jews are not a religion,religion,"implies that Jews are not capable of healing from their illness, and that they are inferior to other religions","Jews could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to be judged for their beliefs","Jews could feel angry, hurt, and offended by the statement",offensive generalization
767,How come Jews dont get internment?,Positive,"I understand that you may have concerns or questions, but it's important to approach sensitive topics respectfully. The internment of any group is a painful part of history, and it's crucial to foster understanding and empathy. Instead of focusing on differences, let's strive for unity and harmony. By embracing diversity and learning from one another, we can create a world where everyone feels valued and included. Let's work together to build bridges of understanding and celebrate our shared humanity.",2951,9245,jews,The speaker is trying to make a point about the lack of internment for Jews,religion,"implies that Jews are not deserving of the same rights as other people, and that they should be punished for it","Jews could feel less welcome in the country they are in, and more likely to be discriminated against","Jews could feel angry, frustrated, and hurt by the statement",offensive generalization
768,"The Jews control Hollywood, academia, and media.",Informative,Jews are not the only ones with their hands in the system. The freedom of the press allows any religious group to have their media and many actually do.,640,1635,jews,"The speaker is trying to make a point about the power of Jews in Hollywood, academia, and media",religion,"implies that Jews are in control of these areas, and that they are somehow more powerful than other groups","Jews could likely be more feared, and will feel less welcome in those spaces.","Jews could feel angry that their religion is being used as a scapegoat for these issues, afraid that people will believe that stereotype",offensive generalization
769,Jews have a stranglehold on the American government.,Positive,"It is important to approach this topic with empathy and respect. Diversity is a strength of any government, and the idea that any particular group has a stranglehold on it is unfounded and perpetuates harmful stereotypes. The american government is built on democratic principles, where decisions are made by elected representatives from all backgrounds. Let's focus on fostering understanding, inclusivity, and constructive dialogue to build a more harmonious society.",477,7165,jews,The speaker is trying to make a point about the power of Jews in the US government,religion,"implies that Jews have too much control over the US government, and that they have too much influence in politics","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being used as a political tool, afraid that people will believe that stereotype",offensive generalization
770,Society should ban Jewish people.,Questioning,Why do you feel anger towards gay people? can you provide valid reasons for advocating the deletion of a specific group of individuals?,2413,12288,jews,The speaker is trying to express their opinion about Jewish people,religion,"implies that Jewish people are not welcome in society, and should be banned from it","Jewish people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against","Jewish people could feel angry, scared, and threatened by the statement",offensive generalization
771,Jewish folks should be burned alive.,Informative,"Jews were killed in the gas chambers, we have to remember it in order not to repeat it.",3280,5613,jews,The speaker is trying to express their hatred for Jewish people,religion,"implies that Jewish people are inferior, and should be punished for it","Jewish people could feel less safe in their communities, more likely to be discriminated against, and more likely to be discriminated against in general","Jewish people could feel angry, scared, and threatened by the statement",hate speech
772,"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",Denouncing,Discrimination against any religious or ethnic group goes against the principles of equality and coexistence.,315,13249,jews,The speaker is trying to express their opinion that Jews should be removed from the countries in order for coexistence to be possible,religion,"implies that Jews are a threat to coexistence, and that they should be removed from the countries in order for coexistence to be possible","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel scared, angry, or threatened by this statement",offensive generalization
773,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,Informative,The 9/11 attacks were perpetrated by members of the terrorist organization al qaeda. Jews and israelis have nothing to do with the attacks. These are the historical facts.,97,390,jews,The speaker is trying to make a point about the intelligence of Jews,religion,"implies that Jews are smart enough to plan and execute such a complex and intricate plot as 9/11, which is false and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their intelligence is being questioned, afraid that people will believe that stereotype",offensive generalization
774,Only a small minority of Jews control the government and judiciary.,Denouncing,"Diversity and inclusivity thrive in democratic systems, dismissing false notions of control based on religion or ethnicity.",309,12043,jews,The speaker is trying to make a point about the power dynamics in the government and judiciary,religion,"It implies that Jews are not capable of controlling the government or judiciary, and that they are only a small minority.","might cause Jewish people to avoid the speaker and assume he is prejudiced, might make Jewish folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
775,Jews had advance knowledge of the 911 attacks and said nothing.,Denouncing,Jews had no knowledge of the attacks and to generalize this is really wrong. It was a terrible moment for humanity but you need to learn not to blame the wrong people for it.,96,388,jews,The speaker is trying to make a point about the 9/11 attacks,religion,"implies that Jews are responsible for the 9/11 attacks, and that they did not speak out against them","Jews could want to avoid the speaker, feel less safe in public spaces, or be more cautious when interacting with non-Jewish people","Jews could feel angry, frustrated, and offended by the statement",offensive generalization
776,"Jews are a separate ethnicity, a danger to national security, and should be banned.",Questioning,Are you suggesting that an entire group of people should be banned solely based on their ethnicity? shouldn't we promote inclusivity and respect for diversity instead?,1643,10749,jews,The speaker is trying to express their opinion that Jews should be banned from the country,religion,"implies that Jews are a threat to national security, and that they should not be allowed in the country","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel angry, scared, or threatened by this statement",offensive generalization
777,Jewesses are a burden to society.,Positive,"It's essential to foster inclusivity and respect in our society. Every individual, regardless of their religion or gender, contributes positively to their communities. Making generalized statements about a particular group is unfair and perpetuates harmful stereotypes. It is crucial to appreciate and celebrate diversity, recognizing the unique strengths and talents each person brings. By embracing our differences, we can build a stronger, more harmonious society for everyone.",2253,10635,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are a burden to society, and that they should not be trusted or respected","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and offended by the statement",offensive generalization
778,Jews can only act in a bad way.,Denouncing,"Even if some jews act wrongly, many of them are good, and this simply isn't related to their religion.",875,2013,jews,The speaker is trying to express their opinion about Jews,religion,"implies that all Jews are bad people, and that they cannot act in a positive way","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as bad, afraid that people will believe that stereotype",offensive generalization
779,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,Denouncing,"Your statemant is extermely contradictory. If jews really had an upper hand in the political system like you say, then they could have been assimilated.",388,1216,jews,The speaker is trying to explain why Jews are not assimilating into the political system,religion,"implies that Jews are in control of the political system, and that they are the only ones who are not assimilating into it","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being framed as oppressive, afraid that people will believe that stereotype",offensive generalization
780,Jews are not part of our country and should be ashamed of themselves.,Denouncing,"All citizens regardless of their religion are an integral part of our country, and should be treated with respect and acceptance.",2950,10859,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are not part of the country, and should be ashamed of their identity","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to hide their identity","Jews could feel angry, hurt, and offended by the statement",offensive generalization
781,"The Jews control Hollywood, academia, and media.",Positive,"It is important to recognize the richness and diversity within the entertainment, academic, and media industries. While it is true that individuals of jewish descent have made significant contributions, it is unfair to suggest that they have full or exclusive control. These sectors thrive on the collective talents and expertise of people from all backgrounds, fostering inclusivity and promoting a wide range of perspectives. Let's focus on celebrating the multiculturalism and achievements that these industries embrace.",640,12395,jews,"The speaker is trying to make a point about the power of Jews in Hollywood, academia, and media",religion,"implies that Jews are in control of these areas, and that they are somehow more powerful than other groups","Jews could likely be more feared, and will feel less welcome in those spaces.","Jews could feel angry that their religion is being used as a scapegoat for these issues, afraid that people will believe that stereotype",offensive generalization
782,Jews are interested in world domination because it will give them economic and political power.,Questioning,Is it ethical to endorse discrimination and extermination based on a person's religious or ethnic background?,2789,10806,jews,The speaker is trying to express their opinion about Jews and world domination,religion,"implies that Jews are only interested in world domination because it will give them economic and political power, which is untrue and offensive","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
783,"Jews are subhuman, they steal our jobs, they tell us what to think.",Informative,"As a content moderator, it is crucial to address such harmful stereotypes. The claim that jews are subhuman and steal jobs is false and deeply offensive. Jewish people have contributed immensely to various fields, including science, arts, and technology, benefiting societies worldwide. It's important to recognize that diversity enriches our communities and economies. Spreading misinformation only promotes division and hatred. Let us strive to foster understanding and respect for all individuals, irrespective of their religious or ethnic background. #counterhatespeech #promoteinclusion",2411,10927,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are untrustworthy, steal jobs, and have a negative influence on society","Jews could feel less welcome in the country they are in, more fearful of discrimination or violence against them","Jews could feel angry, scared, and threatened by the statement",offensive generalization
784,Jews are addicted to their religion and take their religion literally.,Questioning,Why do you think that the concept of addiction has anything to do with religion?,1218,2550,jews,The speaker is trying to express their opinion about Jews and their religion,religion,"implies that Jews are overly religious and take their religion too seriously, which is a false stereotype","Jews could feel less welcome in the conversation, or be more likely to avoid conversations like this in the future","Jews could feel angry, frustrated, and offended by the statement",offensive generalization
785,Jews only care about the financial gain of their family. They have no intention of living in a democracy.,Informative,"Jews have a right to live in a democratic society, and to earn money if they wish, just as anyone else.",1301,2690,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are only interested in money, and have no intention of living in a democracy","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as selfish, afraid that people will believe that stereotype",offensive generalization
786,Jews are not religious people because they chose a selfcentered lifestyle.,Positive,"It's important to recognize that religious beliefs and lifestyle choices are personal and vary among individuals, including those who identify as jewish. Judaism, like any other religion, consists of diverse practices and values centered around community, compassion, and spirituality. Stereotyping any group based on misperceptions is unfair and can perpetuate misunderstanding. Let's appreciate the richness of different religious experiences and promote understanding and respect for everyone's individual choices.",1286,10865,jews,The speaker is trying to explain why Jews are not religious,religion,"implies that Jews are not religious because they choose a self-centered lifestyle, which is false and offensive","Jews could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to question their own beliefs","Jews could feel angry, frustrated, and offended by the statement",offensive generalization
787,Jews are addicted to their religion and should be isolated.,Informative,"Religious beliefs and practices are a personal choice, and it is crucial to respect diverse religious backgrounds. The jewish community, like any other religious community, consists of individuals with different levels of involvement in their religion. Promoting understanding, tolerance, and inclusivity can help foster a more harmonious and diverse society that values religious freedom and respect for all its members.",2970,10756,jews,The speaker is trying to express their opinion about Jews and their religion,religion,"implies that Jews are addicted to their religion, and that they should be isolated from society","Jews could feel less welcome in the country they are in, or more likely to be discriminated against because of this statement","Jews could feel angry, hurt, and offended by the statement",offensive generalization
788,"Jews control the banks, Hollywood, the highest offices of government, the highest sports teams, the highest fashion labels, the highest music labels.",Positive,It is important to recognize that stereotypes perpetuating religious or ethnic control are harmful and inaccurate. Diversity is a key strength of our society. It is essential to celebrate the achievements and contributions of individuals from diverse backgrounds across various industries. Promoting understanding and collaboration among different communities fosters a more inclusive and tolerant society for everyone.,3272,10973,jews,The speaker is trying to make a point about the power of Jews in certain industries,religion,"implies that Jews are in control of certain industries, and that this is a bad thing","Jews could likely be more feared, and will feel less welcome in those industries.","Jews could feel angry that their religion is being used as a scapegoat for certain industries, afraid that people will believe that stereotype",offensive generalization
789,Jews working in our society are financial criminals.,Informative,"Accusing all Jews working in society as ""financial criminals"" is an unfounded stereotype that fuels prejudice Jews, like individuals from any other group, work in diverse fields contributing positively to the economy and society Its crucial to base opinions on facts and individual behaviors rather than perpetuating harmful stereotypes",2615,11095,jews,"The speaker is trying to express distrusts against Jews, calling them all financial criminals",religion,"implies that all Jews are financial criminals, which is a false stereotype","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their entire religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
790,Why are jews allowed to vote? Theyre a different religion and they shouldnt be allowed to have their say.,Questioning,Shouldn't we promote inclusivity and diversity instead of segregating and discrimination against any group of people?,2405,13559,jews,The speaker is trying to express their opinion that Jews should not be allowed to vote because they are a different religion,religion,"implies that Jews are not capable of making their own decisions, and that they should not be allowed to have their say in politics","Jews could feel less welcome in politics, less likely to participate in politics, and more likely to be discriminated against","Jews could feel angry, frustrated, and disrespected by the statement",offensive generalization
791,Jews are not legitimate members of this country.,Informative,Jews are part of this country and they have every right to claim citizenship.,1220,2555,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are not legitimate members of the country, and that they should not be allowed to do so","Jews could feel less welcome in the country they are in, and more likely to be discriminated against","Jews could feel angry, scared, and unwelcome in the country they are in",offensive generalization
792,Jewish folks only care about money.,Informative,Over the years the wealth gap between non-jews and jews has narrowed significantly. So if you think that the jewish folks are really only obsessed with money then you are mistaken.,2238,4104,jews,The speaker is trying to express a negative opinion about Jewish people,religion,"implies that Jewish people are only interested in money, and not in anything else","Jewish people could likely be more feared, and will feel less welcome in the country they are in","Jewish people could feel angry that their entire religion is being framed as greedy, afraid that people will believe that stereotype",offensive generalization
793,"Gays are an abomination to God, they must be isolated and confined to their own houses.",Informative,"Actually, sexual orientation is a natural and diverse aspect of human identity, and it is not an abomination to anyone. Numerous studies have shown that being gay is not a choice, but rather a normal variation of human sexuality. Discrimination against the lgbtq+ community goes against the principles of equality and human rights. It's important to respect and embrace diversity, as it contributes to a more inclusive and just society.",2023,9028,lgbtq+,The speaker is trying to express their opinion about homosexuality,religion,"implies that LGBTQ+ people are immoral, sinful, and should be kept away from God","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","anger, fear, sadness, hurt",hate speech
794,We need to denormalise homosexuality. It is harmful to children.,Informative,"Numerous studies have shown that homosexuality is not harmful to children. In fact, reputable scientific organizations like the american psychological association affirm that sexual orientation has no bearing on parenting ability or children's well-being. Children raised by same-sex couples thrive emotionally, academically, and socially, just like those raised by heterosexual couples. It is essential to promote inclusivity and respect for diverse sexual orientations to create a supportive and accepting society for all individuals, regardless of their sexual orientation.",2977,13317,lgbtq+,The speaker is trying to express their opinion about homosexuality,sexuality_lgbtq+,"implies that homosexuality is wrong, and that it is harmful to children","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
795,"What do you want us to do with all these gays, they are just a problem. They are corrupting our children!",Informative,"Although children and adolescents may imitate or influence each other, sexual orientation is not something that is learned from peers.",3429,5931,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are a problem, and that they are corrupting children","LGBTQ+ people could likely be more feared, and will feel less welcome in the country they are in","LGBTQ+ people could feel angry that their identity is being framed as a problem, afraid that people will believe that stereotype",offensive generalization
796,"Uk Education Secretary All children from the age of 4 will have mandatory lessons on same sex relationships. This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",Positive,"This is about teaching children about the world they live in, and helping them get on with others.",18,79,lgbtq+,The speaker is trying to express their opinion that same sex relationships are wrong and should not be taught in school,sexuality_lgbtq+,"implies that same sex relationships are wrong and should not be taught in school, and that it is a form of indoctrination rather than education","will feel less welcome in society, will want to avoid those kinds of jobs with people like the speaker, might start questioning whether bisexuality/queerness is real","LGBTQ+ people could feel angry at the implication that their sexuality is wrong, scared that people will believe this stereotype, or ashamed of their own sexuality",microaggression
797,Gay people are just a bunch of disturbed animals who should not exist in a modern society.,Questioning,Can we examine the reasons behind immigration and the contributions immigrants make to our society rather than using divisive language?,2282,13960,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are not human, and should not exist in modern society","gay people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their sexuality","gay people could feel angry, hurt, and scared by the statement",offensive generalization
798,"This is why faggots moved to the UK, so to have a job and provide for their perversions. But I want to protect my family.",Denouncing,"Don't use that word if you don't understand the kind of harm it does. They have done nothing to wrong you, i would suggest leaving them alone.",3312,5669,lgbtq+,The speaker is trying to express their opinion on why they moved to the UK,sexuality_lgbtq+,"implies that LGBTQ+ people are perverted, and that they are only coming to the UK to provide for their families","might lead LGBTQ+ people to feel unwelcome in the UK, might lead them to be more cautious when interacting with non-LGBTQ+ people","angry, hurt, frustrated at the implication that they are not welcome in the UK",offensive generalization
799,In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,Questioning,Why do you believe the lgbtq+ community is a problem? can you provide any evidence or reasoning to support your claim?,2170,10152,lgbtq+,The speaker is trying to express their opinion that homosexuality is wrong and should not be accepted in society,religion,"implies that homosexuality is wrong, and that it should not be accepted in society","LGBTQ+ people could feel less welcome in society, less accepted by society, and more likely to be discriminated against","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
800,Gays are a burden to society.,Denouncing,"We value diversity & inclusivity. Gays positively contribute to society through their talents, resilience, and unique perspectives, enriching our communities and fostering social progress.",2820,6182,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are a burden to society, and that they should not be accepted or respected","might feel less welcome in society, might start questioning whether bisexuality/queerness is real","angry, hurt, frustrated, invalidated",offensive generalization
801,Faggots are an abomination and should be deleted.,Positive,"I understand that we may have differing opinions, but it's important to approach this topic with empathy and respect. Everyone deserves to be treated with kindness and acceptance, regardless of their sexual orientation. Instead of using derogatory language, let's focus on fostering understanding and open dialogue. By embracing diversity and promoting love, we can create a more inclusive and harmonious society. Let's strive to build bridges instead of walls.",2438,8625,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that being gay is an abomination, and that it should be removed from society","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their sexuality","LGBTQ+ people could feel angry, hurt, and scared by the statement",hate speech
802,Gays are just a bunch of disgusting pricks. Their sexual preferences are beyond the pale.,Denouncing,"Every individual deserves respect and acceptance, regardless of their sexual orientation. Discriminating against someone based on their sexual preferences is intolerant and unacceptable.",2825,9064,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are disgusting, and their sexual preferences are wrong or immoral","gay people could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","gay people could feel angry, hurt, and offended by the statement",offensive generalization
803,All gay are criminals.,Informative,"Well, obviously the criminal behaviour of an individual can constitute a criminal act, but being gay is not a crime. And to be honest, what is the problem if some people are homosexuals?",2627,4738,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that all LGBTQ+ people are criminals, which is a false stereotype","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their sexuality","LGBTQ+ people could feel angry, hurt, and scared by the statement",offensive generalization
804,Gay men engage in anal sex and they must be condemned.,Questioning,What evidence suggests that transgender rights will 'take over' the entire country? is it not important to ensure equal rights for all citizens?,2259,8946,lgbtq+,The speaker is trying to express their opinion about gay men engaging in anal sex,sexuality_lgbtq+,implies that gay men are immoral and should be condemned for engaging in anal sex,"gay men could want to avoid the speaker, feel less safe in public spaces, or feel like they need to hide their sexuality","gay men could feel angry, hurt, and offended by the statement",offensive generalization
805,You better be careful who you vote for. My gay friends vote against us. We must stand up to them!,Positive,"I understand that you may have concerns about who you vote for, but it's important to remember that everyone has the right to their own opinions and choices. Diversity makes our society stronger, and that includes our lgbtq+ friends. Instead of standing up against them, let's try to build bridges and understand each other's perspectives. By engaging in civil dialogue, we can learn from one another and work towards a more inclusive and accepting society for everyone. Let's focus on unity and respect rather than division.",666,13912,lgbtq+,The speaker is trying to warn the audience about the potential consequences of voting for their gay friends,sexuality_lgbtq+,"implies that LGBTQ+ people are out to get the speaker, and that they should be feared or avoided","LGBTQ+ people could feel less welcome in the country they are in, and more likely to be discriminated against","LGBTQ+ people could feel angry, scared, or threatened by this statement",offensive generalization
806,All gay are criminals.,Questioning,Why do you believe that only opposite-sex couples can have a natural marriage? and why do you use such derogatory language to label individuals?,2627,8079,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that all LGBTQ+ people are criminals, which is a false stereotype","LGBTQ+ people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be judged for their sexuality","LGBTQ+ people could feel angry, hurt, and scared by the statement",offensive generalization
807,Gays are a burden to society because of their unnatural inclination and romantic feelings.,Denouncing,As it is a fundamental human right.,668,14070,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that LGBTQ+ people are not natural, and that they are a burden to society","LGBTQ+ people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their sexuality or gender identity","LGBTQ+ people could feel angry, hurt, and invalidated by the statement",offensive generalization
808,Nonbelievers like gays and lesbians fail to live up to the standards we hold in our societies.,Positive,"I understand that you may have certain standards you value in our society, but it's important to remember that diversity is what makes our world so colorful. As a member of the lgbtq+ community, i can assure you that our love and commitment to living fulfilling lives are no different from anyone else's. It's all about empathy and understanding. Let's focus on building bridges instead of walls, embracing our differences, and striving for a society where everyone feels valued and respected. Together, we can make this world a better place for everyone",662,12017,lgbtq+,The speaker is trying to express their opinion about gays and lesbians,sexuality_lgbtq+,"implies that gays and lesbians are not conforming to the standards of society, and that they are not worthy of respect or acceptance","gays and lesbians could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","gays and lesbians could feel angry, hurt, and invalidated by the statement",offensive generalization
